,Address,City,Owner Name,Mailing Address,Price,Number of Units,Total area,Number Of Stories,Lot Size,Type,Year Built,location,point,latitude,longitude,altitude
0,"6060 Electron Dr., Anchorage, AK, 99518","Anchorage, AK 99518 ·",ODEX INVESTMENTS V LLC,"1001 4TH AVE STE 4500, SEATTLE, WA 98154",10239431.0, , , ,"680,276 SF",Land, ,"6060 Electron Dr, Anchorage, AK 99518, USA","['61.16603399999999', '-149.9016827', '0.0']",61.16603399999999,-149.9016827,0.0
1,"1901 Airport Way, Fairbanks, AK, 99701","Fairbanks, AK 99701 ·",SEATTLE SC PLAZA 2 LLC,"1331 N CALIFORNIA BLVD STE 170, WALNUT CREEK, CA 94596",4050000.0, ,10000,1,3.26 AC,Office,2006,"1901 Airport Way, Fairbanks, AK 99701, USA","['64.8349023', '-147.7582846', '0.0']",64.8349023,-147.7582846,0.0
2,"4510 Old International Airport Rd 99502, Anchorage, AK, 99502","Anchorage, AK 99502 ·",,,3500000.0, ,28521, ,1.09 AC,Office, ,"4510 Old International Airport Rd, Anchorage, AK 99502, USA","['61.1738857', '-149.9692989', '0.0']",61.1738857,-149.9692989,0.0
3,"7645 W. Marigold Drive, Wasilla, AK, 99654","Wasilla, AK 99654 ·",BAKE TECHNOLOGY PARK LLC,"550 NEWPORT CENTER DR, NEWPORT BEACH, CA 92660",3267000.0, , , ,25 AC,Land, ,"7645 Marigold Dr, Wasilla, AK 99654, USA","['61.578439', '-149.642387', '0.0']",61.578439,-149.642387,0.0
4,"171 Muldoon Rd, Anchorage, AK, 99504","Anchorage, AK 99504 ·",,,5000000.0, , ,1,"81,893 SF",Retail,1978,"171 Muldoon Rd, Anchorage, AK 99504, USA","['61.2228303', '-149.7324763', '0.0']",61.2228303,-149.7324763,0.0
5,"12130 Regency Drive, Eagle River, AK, 99577","Eagle River, AK 99577 ·",,,3300000.0, ,35962, ,"119,354 SF",Special Purpose, ,"12130 Regency Dr, Eagle River, AK 99577, USA","['61.3299967', '-149.5746472', '0.0']",61.3299967,-149.5746472,0.0
6,"2 Spine Rd #27, Prudhoe Bay, AK, 99734","Prudhoe Bay, AK 99734 ·",,,16000000.0, ,91191, ,11.54 AC,Industrial, ,"2 Spine Rd #27, Prudhoe Bay, AK 99734, USA","['70.2251892', '-148.4144994', '0.0']",70.2251892,-148.4144994,0.0
7,"550 Bragaw Street, Anchorage, AK, 99508","Anchorage, AK 99508 ·",,,5500000.0, ,37193, ,"306,426 SF",Office, ,"550 Bragaw St, Anchorage, AK 99508, USA","['61.2175846', '-149.8103761', '0.0']",61.2175846,-149.8103761,0.0
8,"13049 Old Glenn Hwy., Eagle River, AK, 99577","Eagle River, AK 99577 ·",,,3400000.0, ,24519, , ,Hotel & Motel, ,"13049 Old Glenn Hwy, Eagle River, AK 99577, USA","['61.3385763', '-149.5613135', '0.0']",61.3385763,-149.5613135,0.0
9,"81 E. Commercial Drive, Palmer, AK, 99645","Palmer, AK 99645 ·",,,4500000.0, ,59240,1,11.67 SF,Industrial,1983,"81 Commercial Dr, Palmer, AK 99645, USA","['61.589711', '-149.1208999', '0.0']",61.589711,-149.1208999,0.0
10,"2300 E. 63rd Avenue, Anchorage, AK, 99507","Anchorage, AK 99507 ·",,,4980000.0, ,28000,2,"91,116 SF",Industrial,1982,"2300 E 63rd Ave, Anchorage, AK 99507, USA","['61.16306669999999', '-149.8391697', '0.0']",61.16306669999999,-149.8391697,0.0
11,"3400 LaTouche Street, Anchorage, AK, 99508","Anchorage, AK 99508 ·",,,4400000.0, ,11900,2,"40,903 SF",Office,1977,"3400 Latouche St, Anchorage, AK 99508, USA","['61.18965499999999', '-149.8594479', '0.0']",61.18965499999999,-149.8594479,0.0
12,"3830 S. Cushman Street, Fairbanks, AK, 99701","Fairbanks, AK 99701 ·",,,3500000.0, ,34092, ,"304,921 SF",Office, ,"3830 S Cushman St, Fairbanks, AK 99701, USA","['64.8086343', '-147.7125456', '0.0']",64.8086343,-147.7125456,0.0
13,"3001-3201 E. Parks Hwy., Wasilla, AK, 99654","Wasilla, AK 99654 ·",,,5920000.0, , , ,27.18 AC,Land, ,"3001 E Parks Hwy, Wasilla, AK 99654, USA","['61.573241', '-149.371148', '0.0']",61.573241,-149.371148,0.0
14,"751 E. Palmer-Wasilla Hwy, Wasilla, AK, 99654","Wasilla, AK 99654 ·",,,5200000.0, ,25026, ,"133,907 SF",Industrial,2001,"751 E Palmer-Wasilla Hwy, Wasilla, AK 99654, USA","['61.575271', '-149.4098704', '0.0']",61.575271,-149.4098704,0.0
15,"740 Gambell St., Anchorage, AK, 99501","Anchorage, AK 99501 ·",,,6500000.0, ,41000, ,"149,969 SF",Office, ,"740 Gambell St, Anchorage, AK 99501, USA","['61.2147317', '-149.8719604', '0.0']",61.2147317,-149.8719604,0.0
16,"3300 Arctic Blvd., Anchorage, AK, 99503","Anchorage, AK 99503 ·",,,8200000.0, ,79438, ,"171,227 SF",Office, ,"3300 Arctic Blvd, Anchorage, AK 99503, USA","['61.19053530000001', '-149.8984086', '0.0']",61.19053530000001,-149.8984086,0.0
17,"Mile 7.25 Sawmill Creek Road, Delta Junction, AK, 99737","Delta Junction, AK 99737 ·",,,7200000.0, , , ,"5,592 AC",Land, ,"Saw Mill Creek Rd, Deltana, AK 99737, USA","['63.9282308', '-145.1518801', '0.0']",63.9282308,-145.1518801,0.0
18,"255 Rink Creek Road, Gustavus, AK, 99826","Gustavus, AK 99826 ·",,,3000000.0, ,15000,2,57 AC,Hotel & Motel,1996,"Rink Creek Rd, Gustavus, AK 99826, USA","['58.44038250000001', '-135.6798304', '0.0']",58.44038250000001,-135.6798304,0.0
19,"2900 E Parks Hwy, Wasilla, AK, 99654","Wasilla, AK 99654 ·",,,12500000.0, , , ,"328,876 SF",Hotel & Motel, ,"2900 E Parks Hwy, Wasilla, AK 99654, USA","['61.5708143', '-149.3761151', '0.0']",61.5708143,-149.3761151,0.0
20,"44001 Sterling Hwy, Soldotna, AK, 99669","Soldotna, AK 99669 ·",,,11340000.0, ,17250,1,"37,462 SF",Retail,2015,"44001 Sterling Hwy, Soldotna, AK 99669, USA","['60.48587879999999', '-151.0577553', '0.0']",60.48587879999999,-151.0577553,0.0
21,"900 W 5th Ave, Anchorage, AK, 99501","Anchorage, AK 99501 ·",,,16275285.0, ,76600,7,0.37 AC,Office,1980,"900 W 5th Ave, Anchorage, AK 99501, USA","['61.217305', '-149.900137', '0.0']",61.217305,-149.900137,0.0
22,525,"Anchorage, AK 99501 ·",,,4250000.0,55,34931,2,"32,318 SF",Multifamily,1953,"760 N Lamb Blvd, Las Vegas, NV 89110, USA","['36.17679529999999', '-115.0811074', '0.0']",36.17679529999999,-115.0811074,0.0
23,"2 Spine Rd #27, Prudhoe Bay, AK, 99734","Prudhoe Bay, AK 99734 ·",,,16000000.0, ,91191, ,11.54 AC,Industrial, ,"2 Spine Rd #27, Prudhoe Bay, AK 99734, USA","['70.2251892', '-148.4144994', '0.0']",70.2251892,-148.4144994,0.0
24,"128 & 240 W. 1st Ave., Anchorage, AK, 99501","Anchorage, AK 99501 ·",,,5600000.0, ,77000, ,"157,455 SF",Office, ,"240 W 1st Ave #128, Anchorage, AK 99501, USA","['61.22126759999999', '-149.8870005', '0.0']",61.22126759999999,-149.8870005,0.0
25,"281 Marathon Road, Kenai, AK, 99611","Kenai, AK 99611 ·",,,4200000.0, ,111348, ,15.34 AC,Industrial,2008,"281 Marathon Rd, Kenai, AK 99611, USA","['60.5644676', '-151.2311079', '0.0']",60.5644676,-151.2311079,0.0
26,"2550 E 88th Ave, Anchorage, AK, 99507","Anchorage, AK 99507 ·",,,11364000.0, ,14418,1,"69,737 SF",Retail,2014,"2550 E 88th Ave, Anchorage, AK 99507, USA","['61.1407166', '-149.8351354', '0.0']",61.1407166,-149.8351354,0.0
27,"935 Gambell Street, Anchorage, AK, 99501","Anchorage, AK 99501 ·",,,6200000.0, ,39284, ,3.05 AC,Retail, ,"935 Gambell St, Anchorage, AK 99501, USA","['61.2128533', '-149.8702284', '0.0']",61.2128533,-149.8702284,0.0
29,"Wadsen Rd, Montgomery, AL, 36105","Montgomery, AL 36105 ·",,,7175000.0, , , ,"205 - 35,000 AC",Land, ,"Wasden Rd, Montgomery, AL 36105, USA","['32.269698', '-86.36704259999999', '0.0']",32.269698,-86.36704259999999,0.0
30,"375 Cox Creek Pky, Florence, AL, 35630","Florence, AL 35630 ·",,,3315000.0, ,5753,1,"68,825 SF",Retail,2006,"375 Cox Creek Pkwy, Florence, AL 35630, USA","['34.8400444', '-87.6375702', '0.0']",34.8400444,-87.6375702,0.0
31,"5332 Old Highway 280, Birmingham, AL, 35242","Birmingham, AL 35242 ·",,,5500000.0, , , ,14.92 AC,Land, ,"5332 Old Hwy 280, Meadowbrook, AL 35242, USA","['33.418258', '-86.67629629999999', '0.0']",33.418258,-86.67629629999999,0.0
32,"US Hwy 80 West, Montgomery, AL, 36108","Montgomery, AL 36108 ·",,,8750000.0, , , ,350 AC,Land, ,"US-80, Montgomery, AL 36108, USA","['32.3048258', '-86.4114352', '0.0']",32.3048258,-86.4114352,0.0
33,"2306 St Stephens Rd, Mobile, AL, 36617","Mobile, AL 36617 ·",,,3800000.0, , ,1,4.81 AC,Retail, ,"2306 St Stephens Rd, Mobile, AL 36617, USA","['30.719195', '-88.0825799', '0.0']",30.719195,-88.0825799,0.0
34,"5271 Endeavor Way, Tanner, AL, 35671","Tanner, AL 35671 ·",,,15514000.0, ,327600,1,"1,132,560 SF",Industrial, ,"5271 Endeavor Way, Tanner, AL 35671, USA","['34.6374111', '-86.89980849999999', '0.0']",34.6374111,-86.89980849999999,0.0
35,"I-65 Service Road at Airport Boulevard, Mobile, AL, 36606","Mobile, AL 36606 ·",,,4965840.0, , , ,9.50 AC,Land, ,"Airport Blvd & E I-65 Service Rd, Mobile, AL 36606, USA","['30.676251', '-88.124062', '0.0']",30.676251,-88.124062,0.0
36,"209, 225, 234, 237 & 240 Oxmoor Circle, Homewood, AL, 35209","Homewood, AL 35209 ·",,,7400000.0, ,142040, ,8.43 AC,Industrial,1974,"234 Oxmoor Cir #225, Birmingham, AL 35209, USA","['33.4529913', '-86.83901499999999', '0.0']",33.4529913,-86.83901499999999,0.0
37,"100 Springdale Blvd., Mobile, AL, 36606","Mobile, AL 36606 ·",,,3267000.0, , , ,5 AC,Land, ,"100 Springdale Blvd, Mobile, AL 36606, USA","['30.683008', '-88.12333', '0.0']",30.683008,-88.12333,0.0
38,"5323 Endeavor Way, Huntsville, AL, 35671","Huntsville, AL 35671 ·",,,11934700.0, ,252000, ,19.15 AC,Industrial, ,"5323 Endeavor Way, Tanner, AL 35671, USA","['34.6378942', '-86.89840509999999', '0.0']",34.6378942,-86.89840509999999,0.0
39,"9916 Troy Hwy, Pike Road, AL, 36064","Pike Road, AL 36064 ·",,,4556600.0, , , ,"73 - 1,395 AC",Land, ,"9916 Troy Hwy, Pike Rd, AL 36064, USA","['32.2213161', '-86.11878089999999', '0.0']",32.2213161,-86.11878089999999,0.0
40,"1130 Joaneen Dr, Saraland, AL, 36571","Saraland, AL 36571 ·",,,3990000.0, ,30000,3,"60,750 SF",Hotel & Motel,2010,"1130 Joaneen Dr, Saraland, AL 36571, USA","['30.8051532', '-88.10232510000002', '0.0']",30.8051532,-88.10232510000002,0.0
41,"Bishop Hill Plantation, Comer, AL, 36053","Comer, AL 36053 ·",,,5172000.0, , , ,"1,730 AC",Land, ,"Comer, AL 36053, USA","['32.0329338', '-85.38327319999999', '0.0']",32.0329338,-85.38327319999999,0.0
42,"3952 US Highway 80, Phenix City, AL, 36869","Phenix City, AL 36869 ·",,,6550376.0, ,47287, ,7.84 AC,Retail, ,"3952 US-80, Phenix City, AL 36869, USA","['32.4715485', '-85.0984094', '0.0']",32.4715485,-85.0984094,0.0
43,"110 12th Street North, Birmingham, AL, 35203","Birmingham, AL 35203 ·",,,3750000.0, ,46565, , ,Office, ,"110 12th St N, Birmingham, AL 35203, USA","['33.5094299', '-86.8177001', '0.0']",33.5094299,-86.8177001,0.0
44,"4077 Hamilton Boulevard, Theodore, AL, 36582","Theodore, AL 36582 ·",,,4239912.0, , , ,43.26 AC,Land, ,"4077 Hamilton Blvd, Theodore, AL 36582, USA","['30.5526901', '-88.1392516', '0.0']",30.5526901,-88.1392516,0.0
45,"501 Boulevard South, Huntsville, AL, 35802","Huntsville, AL 35802 ·",,,24600000.0, , ,13,9 AC,Hotel & Motel,2001,"501 Boulevard S SW, Huntsville, AL 35802, USA","['34.6703115', '-86.5757418', '0.0']",34.6703115,-86.5757418,0.0
46,"432 & 434 Industrial Ln, Birmingham, AL, 35211","Birmingham, AL 35211 ·",,,3500000.0, ,48000,1,4.60 AC,Industrial,1999,"434 Industrial Ln #432, Birmingham, AL 35211, USA","['33.4469702', '-86.8586553', '0.0']",33.4469702,-86.8586553,0.0
47,"3504 Vann Road, Birmingham, AL, 35235","Birmingham, AL 35235 ·",,,6950000.0, ,49588,1,6.01 AC,Office,2004,"3504 Vann Rd, Birmingham, AL 35235, USA","['33.606587', '-86.63375099999999', '0.0']",33.606587,-86.63375099999999,0.0
48,"7320 Theodore Dawes Rd., Theodore, AL, 36582","Theodore, AL 36582 ·",,,12154000.0, ,41921, ,6.45 AC,Retail,2016,"7320 Theodore Dawes Rd, Theodore, AL 36582, USA","['30.5638698', '-88.2132874', '0.0']",30.5638698,-88.2132874,0.0
49,"10261 McLeod Road, Mobile, AL, 36695","Mobile, AL 36695 ·",,,3200000.0, , , ,58.40 AC,Land, ,"10261 McLeod Rd, Mobile, AL 36695, USA","['30.60355329999999', '-88.28370389999999', '0.0']",30.60355329999999,-88.28370389999999,0.0
50,"2408 5th Ave S, Birmingham, AL, 35233","Birmingham, AL 35233 ·",,,3750000.0, ,48000, ,"56,000 SF",Office, ,"2408 5th Ave S, Birmingham, AL 35233, USA","['33.5114352', '-86.7952435', '0.0']",33.5114352,-86.7952435,0.0
51,"339 Aqui Lane, Pike Road, AL, 36064","Pike Road, AL 36064 ·",,,8500000.0, , , ,"1,394 AC",Land, ,"339 Aqui Ln, Pike Rd, AL 36064, USA","['32.2216312', '-86.1267268', '0.0']",32.2216312,-86.1267268,0.0
52,"391 Nick Fitcheard Road, Huntsville, AL, 35806","Huntsville, AL 35806 ·",,,3025000.0, , , , ,Industrial, ,"391 Nick Fitcheard Rd NW, Huntsville, AL 35806, USA","['34.7806975', '-86.6687422', '0.0']",34.7806975,-86.6687422,0.0
53,"Vaughn Road and Taylor Road, Montgomery, AL, 36117","Montgomery, AL 36117 ·",,,2073336.5, , , ,"50,681 - 417,740.41 SF",Land, ,"Vaughn Rd & Taylor Rd, Montgomery, AL 36116, USA","['32.3386643', '-86.1791624', '0.0']",32.3386643,-86.1791624,0.0
54,"3866 Hwy 80, Phenix City, AL, 36869","Phenix City, AL 36869 ·",,,2087500.0, , , ,1 - 10 AC,Land, ,"3866 US-80, Phenix City, AL 36869, USA","['32.46982', '-85.0839994', '0.0']",32.46982,-85.0839994,0.0
55,"1591 Jordan Road, Huntsville, AL, 35811","Huntsville, AL 35811 ·",,,6950000.0, ,223500,1,9.40 AC,Industrial, ,"1591 Jordan Rd, Huntsville, AL 35811, USA","['34.7871919', '-86.5092872', '0.0']",34.7871919,-86.5092872,0.0
56,"Highway 59, Loxley, AL, 36551","Loxley, AL 36551 ·",,,2161665.0, , , ,1 - 65 AC,Land, ,"AL-59, Loxley, AL, USA","['30.6182245', '-87.75305639999999', '0.0']",30.6182245,-87.75305639999999,0.0
57,"990 Explorer Blvd., Huntsville, AL, 35806","Huntsville, AL 35806 ·",,,3725000.0, ,42200, , ,Office, ,"990 Explorer Blvd NW, Huntsville, AL 35806, USA","['34.7316337', '-86.6781475', '0.0']",34.7316337,-86.6781475,0.0
58,"1001 Rice Mine Road, Tuscaloosa, AL, 35406","Tuscaloosa, AL 35406 ·",,,1959111.0, , , ,1.21 - 6.50 AC,Land, ,"1001 Rice Mine Rd N, Tuscaloosa, AL 35406, USA","['33.223809', '-87.5481226', '0.0']",33.223809,-87.5481226,0.0
59,"1812 S Main St, Atmore, AL, 36502","Atmore, AL 36502 ·",,,5147000.0, , , ,34 AC,Land, ,"1812 S Main St, Atmore, AL 36502, USA","['31.0002146', '-87.49082399999999', '0.0']",31.0002146,-87.49082399999999,0.0
60,"2801 Highway 78 E, Jasper, AL, 35501","Jasper, AL 35501 ·",,,3109244.0, ,3500,1,"39,370 SF",Retail, ,"2801 Hwy 78 E, Jasper, AL 35501, USA","['33.8418355', '-87.2426103', '0.0']",33.8418355,-87.2426103,0.0
61,"2865 North Bethel Road, Decatur, AL, 35603","Decatur, AL 35603 ·",,,3011500.0, , , ,317 AC,Land, ,"2865 N Bethel Rd, Decatur, AL 35603, USA","['34.5555311', '-86.89296709999999', '0.0']",34.5555311,-86.89296709999999,0.0
62,"4500 Katies Way, Bessemer, AL, 35022","Bessemer, AL 35022 ·",,,7900000.0, ,186019,1,20 AC,Retail,2000,"4500 Katies Way, Bessemer, AL 35022, USA","['33.3867185', '-86.9945402', '0.0']",33.3867185,-86.9945402,0.0
63,"1700 E 280 Byp, Phenix City, AL, 36867","Phenix City, AL 36867 ·",,,3500000.0, ,40000, , ,Hotel & Motel, ,"1700 E 280 Byp, Phenix City, AL 36867, USA","['32.4610376', '-85.0170117', '0.0']",32.4610376,-85.0170117,0.0
64,"5488 Joe Nail Rd, Mount Olive, AL, 35117","Mount Olive, AL 35117 ·",,,4790840.0, , , ,"1,368.81 AC",Land, ,"5488 Joe Nail Rd, Mt Olive, AL 35117, USA","['33.673389', '-86.91567099999999', '0.0']",33.673389,-86.91567099999999,0.0
65,"4800 US Hwy 280 West, Opelika, AL, 36801","Opelika, AL 36801 ·",,,6750000.0, ,83000,2,11.50 AC,Industrial,2007,"4800 U.S. Hwy 280 W, Opelika, AL 36801, USA","['32.6572952', '-85.45311009999999', '0.0']",32.6572952,-85.45311009999999,0.0
66,"9000 Atlanta Hwy-U.S. 80, Montgomery, AL, 36117","Montgomery, AL 36117 ·",,,4181760.0, , , ,24 AC,Land, ,"9000 Atlanta Hwy, Montgomery, AL 36117, USA","['32.3763415', '-86.15201479999999', '0.0']",32.3763415,-86.15201479999999,0.0
67,"I-565 & Maysville Road, Huntsville, AL, 35811","Huntsville, AL 35811 ·",,,4050000.0, , , ,81 AC,Land, ,"I-565, Huntsville, AL 35811, USA","['34.7625529', '-86.55906739999999', '0.0']",34.7625529,-86.55906739999999,0.0
68,"22335 Hwy 72 E., Athens, AL, 35613","Athens, AL 35613 ·",,,4000000.0, , , , ,Retail, ,"US Hwy 72 E, Athens, AL 35613, USA","['34.78426049999999', '-86.9442507', '0.0']",34.78426049999999,-86.9442507,0.0
69,"928 US Hwy 72 E, Athens, AL, 35611","Athens, AL 35611 ·",,,3056363.59, , , ,1.95 AC,Retail, ,"928 US Hwy 72 E, Athens, AL 35611, USA","['34.7876712', '-86.9617845', '0.0']",34.7876712,-86.9617845,0.0
70,"470 Providence Main Street, Huntsville, AL, 35806","Huntsville, AL 35806 ·",,,7479200.0, ,39400,3, ,Office,2008,"470 Providence Main St NW, Huntsville, AL 35806, USA","['34.7543213', '-86.691801', '0.0']",34.7543213,-86.691801,0.0
71,"1100 Hwy 14, Millbrook, AL, 36054","Millbrook, AL 36054 ·",,,3054645.0, , , ,5.61 AC,Land, ,"1100 AL-14, Elmore, AL 36025, USA","['32.531649', '-86.32578269999999', '0.0']",32.531649,-86.32578269999999,0.0
72,"508 Walker St, Opelika, AL, 36801","Opelika, AL 36801 ·",,,3061565.0, ,47000,1,"170,755 SF",Industrial,1989,"508 Walker St, Opelika, AL 36801, USA","['32.6500633', '-85.35640409999999', '0.0']",32.6500633,-85.35640409999999,0.0
73,"9195 Moffett Road, Semmes, AL, 36575","Semmes, AL 36575 ·",,,8225000.0, ,14550, ,1.39 AC,Retail,2012,"9195 Moffett Rd, Semmes, AL 36575, USA","['30.7786775', '-88.25936019999999', '0.0']",30.7786775,-88.25936019999999,0.0
74,"1165 W Beach Blvd, Gulf Shores, AL, 36542","Gulf Shores, AL 36542 ·",,,4400000.0, , , ,1.44 AC,Land, ,"1165 W Beach Blvd, Gulf Shores, AL 36542, USA","['30.24331099999999', '-87.716517', '0.0']",30.24331099999999,-87.716517,0.0
75,"4000 University Blvd E, Tuscaloosa, AL, 35404","Tuscaloosa, AL 35404 ·",,,4400000.0, , , ,"440,000 SF",Land, ,"4000 University Blvd E, Tuscaloosa, AL 35404, USA","['33.1995798', '-87.4832739', '0.0']",33.1995798,-87.4832739,0.0
76,"7001 Crestwood Blvd, Birmingham, AL, 35213","Birmingham, AL 35213 ·",,,14615175.0, , , ,41 AC,Retail, ,"7001 Crestwood Blvd, Birmingham, AL 35210, USA","['33.5291249', '-86.7309497', '0.0']",33.5291249,-86.7309497,0.0
77,"Industrial Road & Mitsubishi Lane, Theodore, AL, 36582","Theodore, AL 36582 ·",,,4000000.0, , , ,221 AC,Land, ,"7800 Mitsubishi Ln, Theodore, AL 36582, USA","['30.5279483', '-88.14129349999999', '0.0']",30.5279483,-88.14129349999999,0.0
78,"Chantilly Parkway & Eastchase Parkway, Montgomery, AL, 36117","Montgomery, AL 36117 ·",,,4933824.0, , , ,8.39 AC,Land, ,"Chantilly Pkwy & Eastchase Pkwy, Alabama 36117, USA","['32.3625848', '-86.1362589', '0.0']",32.3625848,-86.1362589,0.0
79,"998 Ross Clark Circle, Dothan, AL, 36301","Dothan, AL 36301 ·",,,4625000.0, , , ,31 AC,Land, ,"998 Ross Clark Cir, Dothan, AL 36303, USA","['31.221155', '-85.3613615', '0.0']",31.221155,-85.3613615,0.0
80,"SW Wall St., Huntsville, AL, 35758","Huntsville, AL 35758 ·",,,4384500.0, , , ,237 AC,Agricultural, ,"SW Wall St, Huntsville, AL 35756, USA","['34.5903135', '-86.8132598', '0.0']",34.5903135,-86.8132598,0.0
81,"3100 Cottage Hill Rd., Mobile, AL, 36606","Mobile, AL 36606 ·",,,6300000.0, ,127170,1,8.80 AC,Office, ,"3100 Cottage Hill Rd, Mobile, AL 36606, USA","['30.6680135', '-88.1200628', '0.0']",30.6680135,-88.1200628,0.0
82,"708 E Main St, Prattville, AL, 36067","Prattville, AL 36067 ·",,,3716811.0, ,13225,1,1.49 AC,Retail,2009,"708 E Main St, Prattville, AL 36067, USA","['32.4595656', '-86.4545067', '0.0']",32.4595656,-86.4545067,0.0
83,"Summerville Rd. & 5th Ave Extension, Phenix City, AL, 36867","Phenix City, AL 36867 ·",,,2025000.0, , , ,1.20 - 1.30 AC,Land, ,"Summerville Rd, Phenix City, AL 36867, USA","['32.4990572', '-85.0172542', '0.0']",32.4990572,-85.0172542,0.0
84,"0 Hwy 161, Orange Beach, AL, 36561","Orange Beach, AL 36561 ·",,,5499000.0, , , ,19 AC,Land, ,"25910 Canal Rd, Orange Beach, AL 36561, USA","['30.290699', '-87.5826847', '0.0']",30.290699,-87.5826847,0.0
85,"1008 17th Street South, Birmingham, AL, 35205","Birmingham, AL 35205 ·",,,3500000.0, ,3456, , ,Retail, ,"1008 17th St S, Birmingham, AL 35205, USA","['33.4995917', '-86.8014176', '0.0']",33.4995917,-86.8014176,0.0
86,"Springhill Memorial Drive @I-65, Mobile, AL, 36608","Mobile, AL 36608 ·",,,4356000.0, , , ,10 AC,Land, ,"3630 Springhill Memorial Dr S, Mobile, AL 36608, USA","['30.6810041', '-88.1294592', '0.0']",30.6810041,-88.1294592,0.0
87,"Cobbs Ford Road and I-65, Prattville, AL, 36066","Prattville, AL 36066 ·",,,4573800.0, , , ,7 AC,Land, ,"2505 Cobbs Ford Rd, Prattville, AL 36066, USA","['32.4607', '-86.39427889999999', '0.0']",32.4607,-86.39427889999999,0.0
88,"505 Hwy 80 West, Demopolis, AL, 36732","Demopolis, AL 36732 ·",,,4300000.0, , ,1,10.12 AC,Retail,1996,"505 US-80, Demopolis, AL 36732, USA","['32.4986109', '-87.8421594', '0.0']",32.4986109,-87.8421594,0.0
89,"2400 Presidents Dr, Montgomery, AL, 36116","Montgomery, AL 36116 ·",,,3685000.0, ,63334,5, ,Office,1984,"2400 Presidents Dr, Montgomery, AL 36116, USA","['32.3336533', '-86.2356585', '0.0']",32.3336533,-86.2356585,0.0
90,"6020 Hwy 431 S, Hampton Cove, AL, 35763","Hampton Cove, AL 35763 ·",,,3500000.0, , , ,24.67 AC,Land, ,"6020 US-431, Brownsboro, AL 35741, USA","['34.679696', '-86.49517569999999', '0.0']",34.679696,-86.49517569999999,0.0
91,"McLemore Dr/Wares Ferry Rd, Montgomery, AL, 36117","Montgomery, AL 36117 ·",,,2417580.0, , , ,1.80 - 34 AC,Land, ,"Wares Ferry Rd & McLemore Dr, Montgomery, AL 36117, USA","['32.40481', '-86.16503569999999', '0.0']",32.40481,-86.16503569999999,0.0
92,"Old Hayneville Rd & US Hwy 80, Montgomery, AL, 36108","Montgomery, AL 36108 ·",,,3544000.0, , , ,443 AC,Land, ,"US-80 & Old Hayneville Rd, Alabama 36108, USA","['32.3035014', '-86.419783', '0.0']",32.3035014,-86.419783,0.0
93,"120 Cahaba Valley Pky, Pelham, AL, 35124","Pelham, AL 35124 ·",,,5736573.0, ,28508,2,"218,671 SF",Office,1995,"120 Cahaba Valley Pkwy, Pelham, AL 35124, USA","['33.337575', '-86.7839453', '0.0']",33.337575,-86.7839453,0.0
94,"1480 Eastern Boulevard, Montgomery, AL, 36117","Montgomery, AL 36117 ·",,,5026829.0, ,10475,1,2 AC,Retail,2006,"1480 Eastern Blvd, Montgomery, AL 36117, USA","['32.3582184', '-86.21731869999999', '0.0']",32.3582184,-86.21731869999999,0.0
95,"150 Highway 49, Loxley, AL, 36551","Loxley, AL 36551 ·",,,3750000.0, , , ,150 AC,Land, ,"Co Rd 49, Loxley, AL, USA","['30.6159169', '-87.75916699999999', '0.0']",30.6159169,-87.75916699999999,0.0
96,"589 Ed Spears Rd, Owens Cross Roads, AL, 35763","Owens Cross Roads, AL 35763 ·",,,4381500.0, , , ,381 AC,Agricultural, ,"589 Ed Spears Rd, Owens Cross Roads, AL 35763, USA","['34.56344199999999', '-86.4346489', '0.0']",34.56344199999999,-86.4346489,0.0
97,"Enterprise Way and University Drive, Huntsville, AL, 35806","Huntsville, AL 35806 ·",,,5750000.0, , , ,27.81 AC,Land, ,"University Dr & Enterprise Way, Huntsville, AL 35806, USA","['34.74413699999999', '-86.677875', '0.0']",34.74413699999999,-86.677875,0.0
98,"27006 Canal Road, Orange Beach, AL, 36561","Orange Beach, AL 36561 ·",,,49900000.0, , , ,23.96 AC,Land, ,"27006 Canal Rd, Orange Beach, AL 36561, USA","['30.28823899999999', '-87.564524', '0.0']",30.28823899999999,-87.564524,0.0
99,"3322 South Memorial Pkwy SW, Huntsville, AL, 35801","Huntsville, AL 35801 ·",,,5800000.0, ,90546, ,6.08 SF,Office,1961,"3322 S Memorial Pkwy, Huntsville, AL 35801, USA","['34.6973637', '-86.585054', '0.0']",34.6973637,-86.585054,0.0
100,"3801 Ross Clark Cir, Dothan, AL, 36303","Dothan, AL 36303 ·",,,3395000.0, ,79400, ,7.57 AC,Retail, ,"Plaza North Shopping Center, 3801 Ross Clark Cir, Dothan, AL 36303, USA","['31.2537782', '-85.4114181', '0.0']",31.2537782,-85.4114181,0.0
101,"1600 Federal Dr, Montgomery, AL, 36107","Montgomery, AL 36107 ·",,,11565000.0, ,41117,1,7.33 AC,Retail, ,"1600 Federal Dr, Montgomery, AL 36107, USA","['32.4026273', '-86.2675982', '0.0']",32.4026273,-86.2675982,0.0
